hole_par,strokes,hole_DKP,hole_FDP,hole_SDP,streak_DKP,streak_FDP,streak_SDP,n_rounds,finish_DKP,finish_FDP,finish_SDP,total_DKP,total_FDP,total_SDP,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,Finish
288,289,57.5,50.9,58,3,8.2,3,4,6,5,3,66.5,64.1,64,-0.61,1.14,0.97,0.1,2.21,1.6,2
288,289,50,45.5,60,0,5.8,0,4,6,5,3,56,56.3,63,2.13,-0.09,-0.73,0.28,-0.53,1.6,2
288,290,58,49.2,56,3,7.2,3,4,6,5,3,67,61.4,62,-0.35,-0.1,1.69,0.11,1.7,1.35,2
288,290,55.5,47.9,55,0,7,0,4,6,5,3,61.5,59.9,58,-0.76,1.14,0.28,0.7,2.11,1.35,2
288,293,51,42.2,53,0,6.6,0,4,3,2,0,54,50.8,53,0.17,0.07,0.29,0.07,0.43,0.6,3
288,291,59.5,50.4,51,0,11.4,0,4,4,3,1,63.5,64.8,52,0.51,0.19,0.08,0.32,0.59,1.1,3
288,290,54.5,46.3,57,3,7.2,3,4,6,5,3,63.5,58.5,63,0.49,0.53,-0.7,1.04,0.86,1.35,2
288,294,50,39.4,52,0,1.8,0,4,2,1,0,52,42.2,52,-0.01,-0.42,0.4,0.39,0.37,0.35,4
288,292,50.5,42.7,53,0,6.8,0,4,3,2,0,53.5,51.5,53,0.35,-0.05,0.06,0.49,0.51,0.85,3
288,291,50,43.1,56,0,6.6,0,4,4,3,1,54,52.7,57,0.18,0.06,0.61,0.25,0.92,1.1,3
288,287,64.5,56.8,57,6,14.2,6,4,9,8,6,79.5,79,69,0.72,0.66,1.35,-0.62,1.39,2.1,1
288,297,52,39.1,40,0,7.8,0,4,1,0,0,53,46.9,40,-0.52,-0.24,1.17,-0.8,0.12,-0.4,5
288,290,59.5,51.6,54,0,16.4,0,4,6,5,3,65.5,73,57,-0.48,-0.26,2.35,-0.25,1.83,1.35,2
288,293,52,41.3,52,0,5.4,0,4,3,2,0,55,48.7,52,-0.51,0.6,-0.05,0.56,1.12,0.6,3
288,290,55.5,47.9,55,0,7.4,0,4,6,5,3,61.5,60.3,58,1.67,-0.64,0.6,-0.28,-0.32,1.35,2
288,290,50,43,60,0,1.6,0,4,6,5,3,56,49.6,63,-0.09,0.23,0.04,1.18,1.45,1.35,2
288,302,38,25,36,0,0.2,0,4,1,0,0,39,25.2,36,-0.88,-1.03,0.39,-0.13,-0.77,-1.65,5
288,303,38.5,24.6,33,0,1.6,0,4,1,0,0,39.5,26.2,33,-0.37,-0.18,-1.36,0.01,-1.52,-1.9,5
288,293,43,37.3,54,0,0.4,0,4,3,2,0,46,39.7,54,-1.61,1.44,0.79,-0.01,2.21,0.6,3
288,295,42.5,35.4,49,0,0.8,0,4,2,1,0,44.5,37.2,49,-1.39,-0.25,0.81,0.94,1.5,0.1,4
288,294,47,38.6,50,0,1.4,0,4,2,1,0,49,41,50,1.15,-0.28,-0.55,0.04,-0.79,0.35,4
288,293,57,44.1,50,3,14,3,4,3,2,0,63,60.1,53,0.07,-0.01,0.28,0.27,0.54,0.6,3
288,291,57.5,48.5,54,0,6.8,0,4,4,3,1,61.5,58.3,55,-0.17,-0.28,1.7,-0.14,1.28,1.1,3
288,287,67,58.1,58,3,12.4,3,4,9,8,6,79,78.5,67,0.94,0.22,0.38,0.56,1.17,2.1,1
288,295,50,39.5,48,0,6.4,0,4,2,1,0,52,46.9,48,1.21,-0.71,0.34,-0.74,-1.11,0.1,4
288,283,71,64,69,0,11.6,0,4,18,18,11,89,93.6,80,1.42,1.41,-0.97,1.24,1.68,3.1,1
288,292,45.5,39.9,55,0,5.8,0,4,3,2,0,48.5,47.7,55,-0.27,0,0.46,0.66,1.13,0.85,3
288,278,78,73.6,72,0,14,0,4,30,30,15,108,117.6,87,0.71,1.44,1.44,0.76,3.64,4.36,1
288,293,52.5,43.3,52,3,7.2,3,4,3,2,0,58.5,52.5,55,0.7,0.25,0.04,-0.38,-0.09,0.6,3
288,294,53,41.6,50,0,0.6,0,4,2,1,0,55,43.2,50,0.03,-0.12,-0.16,0.6,0.33,0.35,4
288,290,55.5,47.8,58,3,7.6,3,4,6,5,3,64.5,60.4,64,0.07,0.48,-0.3,1.1,1.28,1.35,2
288,290,51.5,44.1,59,0,1,0,4,6,5,3,57.5,50.1,62,1.41,-0.18,0.23,-0.1,-0.05,1.35,2
288,305,40.5,21.3,36,0,1.2,0,4,0,0,0,40.5,22.5,36,-1.37,0.18,-0.69,-0.51,-1.02,-2.4,6
288,295,46,37.1,48,0,2.6,0,4,2,1,0,48,40.7,48,-0.31,0.91,-0.25,-0.25,0.42,0.1,4
288,301,41,27.1,38,0,1.8,0,4,1,0,0,42,28.9,38,-1.38,-0.12,0.23,-0.13,-0.02,-1.4,5
288,292,61.5,48.5,51,0,12.4,0,4,3,2,0,64.5,62.9,51,0.96,-1.13,0.59,0.44,-0.1,0.85,3
288,294,49,39.2,50,3,2.4,3,4,2,1,0,54,42.6,53,-0.29,0.55,-0.42,0.52,0.65,0.35,4
288,285,68,60.9,60,3,12.6,3,4,12,12,8,83,85.5,71,1.4,0.84,-0.19,0.55,1.2,2.6,1
288,281,64,61.9,72,3,6,4,4,5,4,2,72,71.9,78,1.33,1.12,-0.55,-0.47,0.04,1.37,2
288,278,80.5,76.3,69,0,19.6,0,4,16,16,10,96.5,111.9,79,-0.29,0.68,1.07,0.71,2.46,2.17,1
288,280,71,67.8,70,3,17.4,3,4,6,5,3,80,90.2,76,0.6,-0.41,0.85,0.63,1.07,1.67,2
288,283,62.5,58.4,69,0,0.6,0,4,2,1,0,64.5,60,69,-0.14,-0.09,0.52,0.62,1.05,0.92,4
288,284,58,55.2,68,0,0.2,0,4,1,0,0,59,55.4,68,-0.23,0.16,0.31,0.18,0.6,0.37,5
288,282,64.5,61.5,69,6,13.4,6,4,3,2,0,73.5,76.9,75,0.64,0.34,0.25,-0.07,0.53,1.17,3
288,289,56,49.9,56,0,7.2,0,4,0,0,0,56,57.1,56,0.51,-0.37,-0.12,-0.61,-1.09,-0.58,6
288,278,80,74.2,72,6,15.8,6,4,16,16,10,102,106,88,1.82,0.54,-0.48,0.33,0.4,2.22,1
288,289,55.5,47.8,59,0,6.4,0,4,0,0,0,55.5,54.2,59,0.19,-0.9,-0.42,0.54,-0.77,-0.58,6
288,281,65.5,63,71,6,18.8,7,4,5,4,2,76.5,85.8,80,-1.29,0.89,1.43,0.4,2.71,1.42,2
288,285,61.5,55.6,67,0,5.6,0,4,1,0,0,62.5,61.2,67,0.01,0.52,-0.88,0.77,0.41,0.42,5
288,279,71,67.7,74,0,11,0,4,9,8,6,80,86.7,80,1.1,0.26,0.49,0.07,0.82,1.92,1
288,283,69.5,63,67,3,16.8,4,4,2,1,0,74.5,80.8,71,-0.12,-0.52,0.54,1.02,1.04,0.92,4
288,286,62.5,56.1,61,0,13.2,0,4,0,0,0,62.5,69.3,61,1.33,-0.53,-0.24,-0.41,-1.17,0.17,6
288,278,74.5,71.9,73,3,13.6,3,4,16,16,10,93.5,101.5,86,-0.46,0.39,0.79,1.44,2.62,2.17,1
288,283,69,63.5,66,0,13.2,0,4,2,1,0,71,77.7,66,-0.72,1.03,0.4,0.21,1.64,0.92,4
288,284,62,56.4,68,3,7.2,4,4,1,0,0,66,63.6,72,-0.34,-0.05,0.52,0.54,1,0.67,5
288,279,71,67.7,74,3,17.6,4,4,9,8,6,83,93.3,84,0.98,0.13,0.76,0.05,0.94,1.92,1
288,281,71.5,66,71,0,11.6,0,4,5,4,2,76.5,81.6,73,0.6,-0.28,0.81,0.29,0.82,1.42,2
288,290,59.5,49.1,55,0,11.8,0,4,0,0,0,59.5,60.9,55,1.47,-1,-0.17,-1.14,-2.3,-0.83,6
288,289,57.5,49.6,59,0,6.4,0,4,0,0,0,57.5,56,59,-1.47,0.29,0.27,0.31,0.83,-0.64,6
288,284,67,61.8,62,3,18,4,4,1,0,0,71,79.8,66,0.28,0.09,-0.4,0.21,-0.03,0.24,5
288,279,67.5,66,75,6,11.8,7,4,9,8,6,82.5,85.8,88,0.45,-0.2,1.52,0.15,1.47,1.92,1
288,286,56.5,51.7,65,0,6.2,0,4,0,0,0,56.5,57.9,65,-1.81,-0.07,1.22,0.83,1.98,0.17,6
288,281,75,69.1,66,3,19.6,3,4,5,4,2,83,92.7,71,0.31,0.59,0.24,0.28,1.11,1.42,2
288,287,72.5,61.6,57,3,9,3,4,0,0,0,75.5,70.6,60,-0.58,-1.54,1.7,0.34,0.5,-0.08,6
288,291,48.5,42,57,3,6.4,3,4,0,0,0,51.5,48.4,60,-0.84,-0.02,-0.27,0.04,-0.24,-1.08,6
288,294,51,39.8,50,3,7.2,3,4,0,0,0,54,47,53,-0.88,0.01,-0.4,-0.57,-0.95,-1.83,6
288,284,64.5,59.1,65,0,6.8,0,4,1,0,0,65.5,65.9,65,0.11,-0.69,0.86,0.38,0.56,0.67,5
288,284,62,57.6,68,0,0.4,0,4,1,0,0,63,58,68,0.8,-0.51,0.35,0.02,-0.14,0.67,5
